accuracy,f1,false_negative,false_positive,method,num_pairs,precision,recall,runtime_seconds,threshold,true_negative,true_positive
0.8,0.8,1,0,jaccard_exact,5,1.0,0.6666666666666666,0.0035816000017803162,0.1,2,2
0.8,0.8,1,0,minhash,5,1.0,0.6666666666666666,0.0035816000017803162,0.1,2,2
0.6,0.5,2,0,simhash,5,1.0,0.3333333333333333,0.0035816000017803162,0.65,2,1
